system   D            wsystem.c:583  maybe_parent_dir                 [   0.00028] Also searching C:\Terraf0rm\Terraf0rm\Terraf0rm\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00048] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00050] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00194] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.00904] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.00907] Allegro version: 5.0.6
dtor     D               dtor.c:184  _al_register_destructor          [   0.00914] added dtor for object 00BC8BC0, func 54171951
dtor     D               dtor.c:184  _al_register_destructor          [   0.00916] added dtor for object 00BC8150, func 54172711
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.01240] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.01294] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01296] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01297] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01298] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01299] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01300] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01301] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01302] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01303] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01304] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01305] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01306] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01308] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01309] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01310] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01311] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01312] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01313] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01314] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01315] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01316] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01317] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01318] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01319] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01320] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01321] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01323] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01324] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01325] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01326] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01327] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01331] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01333] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01334] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01335] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01336] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.01337] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01338] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01339] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01340] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01342] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01343] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01344] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01345] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01346] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01347] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01348] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01349] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01350] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01352] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01353] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01354] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01355] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01356] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01357] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01358] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01359] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01361] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01362] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01363] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01364] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01365] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01366] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01367] Single Buffer requirement not met.
